FULL_ADDRESS,PRICE,BEDS,BATHS,SQUARE_FEET,PRICE_PER_SQFT,STREET,CITY,ZIP_CODE,LATITUDE,LONGITUDE,LOT_SIZE,YEAR_BUILT,HOA_PER_MONTH,HOA_30_YEARS,MORTGAGE_RATE_24_APRIL_2025,CLOSING_COST,DOWNPAYMENT_20PERCENT,LOAN_AMOUNT,LOAN_TENURE_MONTHS,MONTHLY_EMI,TOTAL_INTEREST_30_YEARS,AVERAGE_YEARLY_ZHVI_PERCENTAGE_CHANGE,ESTIMATED_HOME_VALUE_APPRECIATED_AFTER_30_YEARS,ANNUAL_PROPERTY_TAXES,ESTIMATED_PROPERTY_TAXES_AFTER_30_YEARS,AVERAGE_ANNUAL_INSURANCE_COST,ESTIMATED_INSURANCE_COST_AFTER_30_YEARS,ESTIMATED_HOME_MAINTENANCE_AFTER_30_YEARS,TOTAL_COSTS_AFTER_30_YEARS,ESTIMATED_NET_VALUE_GAIN_AFTER_30_YEARS,REITS_INVESTMENT_30_YEARS_WITH_COMPOUNDING_INTEREST,ESTIMATED_FTSE_NAREIT_30_YEARS_RETURNS
"2306 W Alhambra Rd, Alhambra, CA 91801","$1,950,000",4,4,"3,060",$637.25,W Alhambra Rd,Alhambra,91801,34.0984828,-118.1485353,"10,966",1924,$0,$0,6.81%,"$68,250.00","$390,000","$1,560,000",360,"$10,180.43","$2,104,953.53",6.56%,"$3,835,515.18",1.18%,"$933,471.50","$1,483.00","$44,490.00","$91,800.00","$3,242,965.03","$202,550.15",538.48%,"$2,100,056.38"
"309 N 4th St Unit D, Alhambra, CA 91801","$738,000",3,3,"1,308",$564.22,N 4th St Unit D,Alhambra,91801,34.095772,-118.1333923,"7,429",1986,$235,"$84,600",6.81%,"$25,830.00","$147,600","$590,400",360,"$3,852.90","$796,643.95",6.56%,"$1,451,594.97",1.18%,"$353,283.06","$1,483.00","$44,490.00","$39,240.00","$1,344,087.01","-$40,092.04",538.48%,"$794,790.57"
"2839 Midwick Dr, Alhambra, CA 91803","$1,188,800",3,2,"1,820",$653.19,Midwick Dr,Alhambra,91803,34.0715213,-118.1558935,"7,973",1937,$0,$0,6.81%,"$41,608.00","$237,760","$951,040",360,"$6,206.41","$1,283,266.03",6.76%,"$2,410,876.10",1.18%,"$569,082.52","$1,491.00","$44,730.00","$54,600.00","$1,993,286.55","$179,829.55",538.48%,"$1,280,280.53"
"619 N Electric Ave, Alhambra, CA 91801","$1,199,000",3,2,"1,418",$845.56,N Electric Ave,Alhambra,91801,34.0994112,-118.1403286,"7,426",1910,$0,$0,6.81%,"$41,965.00","$239,800","$959,200",360,"$6,259.66","$1,294,276.55",6.56%,"$2,358,350.10",1.18%,"$573,965.30","$1,483.00","$44,490.00","$42,540.00","$1,997,236.85","$121,313.25",538.48%,"$1,291,265.44"
"1620 S 6th St, Alhambra, CA 91803","$1,298,000",5,2,"1,915",$677.81,S 6th St,Alhambra,91803,34.0750654,-118.1290307,"8,079",1953,$0,$0,6.81%,"$45,430.00","$259,600","$1,038,400",360,"$6,776.51","$1,401,143.42",6.76%,"$2,632,332.75",1.18%,"$621,356.93","$1,491.00","$44,730.00","$57,450.00","$2,170,110.35","$202,622.40",538.48%,"$1,397,883.68"
"100 N El Molino, Alhambra, CA 91801","$1,790,000",11,7,"5,604",$319.41,N El Molino,Alhambra,91801,34.1018389,-118.1162766,"7,459",1965,$0,$0,6.81%,"$62,650.00","$358,000","$1,432,000",360,"$9,345.11","$1,932,239.39",6.56%,"$3,520,806.24",1.18%,"$856,878.97","$1,483.00","$44,490.00","$168,120.00","$3,064,378.36","$98,427.88",538.48%,"$1,927,744.06"
"134 N Atlantic Blvd Unit B, Alhambra, CA 91801","$838,000",3,3,"1,195",$701.26,N Atlantic Blvd Unit B,Alhambra,91801,34.0938408,-118.1344081,"11,656",1994,$300,"$108,000",6.81%,"$29,330.00","$167,600","$670,400",360,"$4,374.97","$904,590.28",6.56%,"$1,648,288.06",1.18%,"$401,153.39","$1,483.00","$44,490.00","$35,850.00","$1,523,413.68","-$42,725.62",538.48%,"$902,485.77"
"702 S Stoneman Ave Unit E, Alhambra, CA 91801","$799,000",3,3,"1,380",$578.99,S Stoneman Ave Unit E,Alhambra,91801,34.0888196,-118.1212744,"22,503",1985,$230,"$82,800",6.81%,"$27,965.00","$159,800","$639,200",360,"$4,171.36","$862,491.21",6.56%,"$1,571,577.76",1.18%,"$382,483.96","$1,483.00","$44,490.00","$41,400.00","$1,441,630.18","-$29,852.42",538.48%,"$860,484.64"
"815 Winthrop Dr, Alhambra, CA 91803","$975,000",2,1,"1,028",$948.44,Winthrop Dr,Alhambra,91803,34.0847224,-118.158596,"5,222",1930,$0,$0,6.81%,"$34,125.00","$195,000","$780,000",360,"$5,090.21","$1,052,476.76",6.76%,"$1,977,291.55",1.18%,"$466,735.75","$1,491.00","$44,730.00","$30,840.00","$1,628,907.51","$153,384.04",538.48%,"$1,050,028.19"
"414 N 3RD St, Alhambra, CA 91801","$1,250,000",3,2,"1,476",$846.88,N 3RD St,Alhambra,91801,34.0982188,-118.1329421,"8,577",1926,$0,$0,6.81%,"$43,750.00","$250,000","$1,000,000",360,"$6,525.91","$1,349,329.18",6.56%,"$2,458,663.57",1.18%,"$598,379.17","$1,483.00","$44,490.00","$44,280.00","$2,080,228.35","$128,435.22",538.48%,"$1,346,189.99"
